Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginScenario,,,2019-05-06 10:17:17,2019-05-06 10:21:05,3m - 47.653s,PASSED
,,,,,,
Test Cases/To check functionality of Contacts Viewed Profile,,,2019-05-06 10:17:17,2019-05-06 10:18:34,1m - 17.054s,PASSED
"startApplication(""/home/iauro-qa004/Katalon Studio/Anuroop hybrid app/AndroidApp/android-debug.apk"", true)",,,2019-05-06 10:17:18,2019-05-06 10:18:01,42.927s,PASSED
"comment(""Enter username"")",,,2019-05-06 10:18:01,2019-05-06 10:18:01,0.014s,PASSED
"setText(findTestObject(""Login/Username""), ""MB07120121"", 0)",,,2019-05-06 10:18:01,2019-05-06 10:18:05,4.181s,PASSED
"takeScreenshot(""/home/iauro-qa004/Katalon Studio/Anuroop hybrid app/AndroidApp/screenshot.png"")",,,2019-05-06 10:18:05,2019-05-06 10:18:08,3.279s,PASSED
"comment(""Enter password"")",,,2019-05-06 10:18:08,2019-05-06 10:18:08,0.002s,PASSED
"setText(findTestObject(""Login/Password""), ""anuroop50"", 0)",,,2019-05-06 10:18:08,2019-05-06 10:18:09,0.796s,PASSED
delay(5),,,2019-05-06 10:18:09,2019-05-06 10:18:14,5.007s,PASSED
driver = getDriver(),,,2019-05-06 10:18:14,2019-05-06 10:18:14,0.001s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),,,2019-05-06 10:18:14,2019-05-06 10:18:14,0.001s,PASSED
"log.logInfo(""----------------------------- Page Information : "" + driver.getPageSource())",,,2019-05-06 10:18:14,2019-05-06 10:18:14,0.436s,PASSED
"getAttribute(findTestObject(""Login/Login""), ""text"", 0)",,,2019-05-06 10:18:14,2019-05-06 10:18:15,0.492s,PASSED
"comment(""Click on Login button"")",,,2019-05-06 10:18:15,2019-05-06 10:18:15,0.002s,PASSED
"tap(findTestObject(""Login/Login""), 0)",,,2019-05-06 10:18:15,2019-05-06 10:18:16,1.162s,PASSED
"waitForElementPresent(findTestObject(""Home Page/Choose a type of match""), 0)",,,2019-05-06 10:18:16,2019-05-06 10:18:26,9.669s,PASSED
