Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginScenario,,,2019-05-16 15:39:11,2019-05-16 15:43:36,4m - 24.736s,FAILED
,,,,,,
Test Cases/To check functionality of Contacts Viewed Profile,,,2019-05-16 15:39:11,2019-05-16 15:40:52,1m - 40.573s,FAILED
"startApplication(""/home/iauro-qa004/Katalon Studio/Anuroop hybrid app/AndroidApp/android-debug.apk"", true)",,,2019-05-16 15:39:12,2019-05-16 15:40:52,1m - 40.128s,FAILED
,,,,,,
Test Cases/Checking About button functionality,,,2019-05-16 15:40:52,2019-05-16 15:42:23,1m - 31.431s,PASSED
"startApplication(""/home/iauro-qa004/Katalon Studio/Anuroop hybrid app/AndroidApp/android-debug.apk"", true)",,,2019-05-16 15:40:52,2019-05-16 15:41:34,42.029s,PASSED
"comment(""Enter username"")",,,2019-05-16 15:41:34,2019-05-16 15:41:34,0.032s,PASSED
"setText(findTestObject(""Login/Username""), ""MB07120121"", 0)",,,2019-05-16 15:41:34,2019-05-16 15:41:49,15.280s,PASSED
"takeScreenshot(""/home/iauro-qa004/Katalon Studio/Anuroop hybrid app/AndroidApp/screenshot.png"")",,,2019-05-16 15:41:49,2019-05-16 15:41:53,3.238s,PASSED
"comment(""Enter password"")",,,2019-05-16 15:41:53,2019-05-16 15:41:53,0.007s,PASSED
"setText(findTestObject(""Login/Password""), ""anuroop50"", 0)",,,2019-05-16 15:41:53,2019-05-16 15:41:54,1.206s,PASSED
delay(5),,,2019-05-16 15:41:54,2019-05-16 15:41:59,5.006s,PASSED
driver = getDriver(),,,2019-05-16 15:41:59,2019-05-16 15:41:59,0.001s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),,,2019-05-16 15:41:59,2019-05-16 15:41:59,0.001s,PASSED
"log.logInfo(""----------------------------- Page Information : "" + driver.getPageSource())",,,2019-05-16 15:41:59,2019-05-16 15:41:59,0.490s,PASSED
"getAttribute(findTestObject(""Login/Login""), ""text"", 0)",,,2019-05-16 15:41:59,2019-05-16 15:42:00,0.420s,PASSED
"comment(""Click on Login button"")",,,2019-05-16 15:42:00,2019-05-16 15:42:00,0.004s,PASSED
"tap(findTestObject(""Login/Login""), 0)",,,2019-05-16 15:42:00,2019-05-16 15:42:01,1.062s,PASSED
"waitForElementPresent(findTestObject(""Home Page/Choose a type of match""), 0)",,,2019-05-16 15:42:01,2019-05-16 15:42:06,5.062s,PASSED
"waitForElementPresent(findTestObject(""Home Page/More""), 0)",,,2019-05-16 15:42:06,2019-05-16 15:42:08,2.514s,PASSED
"tap(findTestObject(""Home Page/More""), 0)",,,2019-05-16 15:42:08,2019-05-16 15:42:10,1.313s,PASSED
"com.my.keywords.android.ScrollToElement.scrollListToElementWithText(""Events"")",,,2019-05-16 15:42:10,2019-05-16 15:42:18,8.334s,PASSED
